City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2020-10-30 23:30:06,-23.12,-134.97,76.21,64,0,3.87
1,Belmonte,BR,2020-10-30 23:31:20,-15.86,-38.88,77.0,83,0,6.93
2,Jamestown,US,2020-10-30 23:31:20,42.1,-79.24,36.0,98,90,4.61
3,Albany,US,2020-10-30 23:28:34,42.6,-73.97,33.01,88,79,3.29
4,Wufeng,CN,2020-10-30 23:31:21,27.45,104.83,46.99,100,100,3.58
5,Berlevag,NO,2020-10-30 23:28:15,70.86,29.09,28.4,86,75,10.29
6,Ende,ID,2020-10-30 23:31:21,-8.84,121.66,83.62,68,72,1.88
7,Ushuaia,AR,2020-10-30 23:27:14,-54.8,-68.3,50.0,71,75,20.8
8,Hilo,US,2020-10-30 23:30:10,19.73,-155.09,84.2,70,90,8.05
9,Sioux Lookout,CA,2020-10-30 23:31:21,50.1,-91.92,30.2,74,90,10.29
10,Pisco,PE,2020-10-30 23:31:19,-13.7,-76.22,64.4,77,40,9.17
11,Dingle,PH,2020-10-30 23:30:59,11.0,122.67,80.94,86,100,11.01
12,Geraldton,AU,2020-10-30 23:31:22,-28.77,114.6,69.8,77,90,10.29
13,Burnie,AU,2020-10-30 23:31:22,-41.07,145.92,64.0,55,28,3.0
14,Butaritari,KI,2020-10-30 23:31:22,3.07,172.79,82.56,77,72,20.2
15,Viesca,MX,2020-10-30 23:31:22,25.35,-102.8,78.8,24,20,3.15
16,Ulaangom,MN,2020-10-30 23:31:23,49.98,92.07,23.85,92,56,0.4
17,Mataura,NZ,2020-10-30 23:31:23,-46.19,168.86,54.0,98,100,11.99
18,Port Alfred,ZA,2020-10-30 23:31:23,-33.59,26.89,60.48,62,86,3.18
19,Cidreira,BR,2020-10-30 23:31:23,-30.18,-50.21,64.6,66,80,11.39
20,Hithadhoo,MV,2020-10-30 23:30:35,-0.6,73.08,83.08,76,90,10.09
21,Prince Rupert,CA,2020-10-30 23:31:24,54.32,-130.32,48.2,66,20,3.36
22,Mar Del Plata,AR,2020-10-30 23:27:46,-38.0,-57.56,57.0,81,0,4.7
23,Arraial Do Cabo,BR,2020-10-30 23:31:24,-22.97,-42.03,70.81,88,100,33.06
24,Grand Island,US,2020-10-30 23:30:04,40.92,-98.34,64.4,34,1,10.29
25,Cherskiy,RU,2020-10-30 23:31:24,68.75,161.3,6.42,91,100,5.55
26,Busselton,AU,2020-10-30 23:31:25,-33.65,115.33,70.0,64,15,7.61
27,Hobyo,SO,2020-10-30 23:31:25,5.35,48.53,80.37,78,36,11.23
28,Puerto Ayora,EC,2020-10-30 23:31:26,-0.74,-90.35,70.0,93,66,4.0
29,Hermanus,ZA,2020-10-30 23:30:12,-34.42,19.23,45.0,91,0,11.86
30,Hobart,AU,2020-10-30 23:31:26,-42.88,147.33,64.99,58,20,5.82
31,Kholtoson,RU,2020-10-30 23:31:26,50.3,103.31,18.16,86,68,3.56
32,Vaini,TO,2020-10-30 23:31:27,-21.2,-175.2,77.0,73,40,13.87
33,Hami,CN,2020-10-30 23:31:27,42.8,93.45,33.03,76,0,5.03
34,Lorengau,PG,2020-10-30 23:31:27,-2.02,147.27,86.13,63,96,0.54
35,Mazatlan,MX,2020-10-30 23:27:56,23.22,-106.42,87.8,48,40,9.17
36,San Patricio,US,2020-10-30 23:30:52,28.02,-97.52,68.0,45,20,10.29
37,Shiyan,CN,2020-10-30 23:31:28,32.65,110.78,58.05,84,100,3.09
38,Klaksvik,FO,2020-10-30 23:30:35,62.23,-6.59,48.2,81,24,17.22
39,Eyl,SO,2020-10-30 23:31:28,7.98,49.82,80.15,75,23,10.85
40,Carnarvon,AU,2020-10-30 23:31:28,-24.87,113.63,73.4,78,90,2.24
41,Bredasdorp,ZA,2020-10-30 23:31:29,-34.53,20.04,48.2,81,5,2.24
42,Barrow,US,2020-10-30 23:31:29,71.29,-156.79,15.8,78,1,11.41
43,Tilichiki,RU,2020-10-30 23:31:29,60.47,166.1,29.61,97,45,1.95
44,Ribeira Grande,PT,2020-10-30 23:30:15,38.52,-28.7,68.95,92,100,12.44
45,Pingliang,CN,2020-10-30 23:31:30,35.54,106.69,40.68,64,6,4.61
46,Plettenberg Bay,ZA,2020-10-30 23:31:30,-34.05,23.37,52.77,71,0,3.04
47,Lebu,CL,2020-10-30 23:31:31,-37.62,-73.65,52.21,87,0,12.86
48,Afonso Claudio,BR,2020-10-30 23:31:31,-20.07,-41.12,71.8,89,100,4.59
49,Melipilla,CL,2020-10-30 23:31:32,-33.7,-71.22,73.4,93,90,5.82
50,Rio Cuarto,AR,2020-10-30 23:30:32,-33.13,-64.35,66.2,39,0,11.41
51,Saint-Philippe,RE,2020-10-30 23:30:27,-21.36,55.77,68.0,64,90,24.16
52,Tongliao,CN,2020-10-30 23:31:32,43.61,122.27,53.26,42,100,23.26
53,Atuona,PF,2020-10-30 23:31:33,-9.8,-139.03,77.92,73,76,10.51
54,Winslow,US,2020-10-30 23:31:33,35.02,-110.7,69.8,21,1,4.7
55,Kirakira,SB,2020-10-30 23:31:33,-10.45,161.92,83.75,65,80,4.72
56,Te Anau,NZ,2020-10-30 23:31:33,-45.42,167.72,52.39,92,100,3.67
57,Namatanai,PG,2020-10-30 23:31:33,-3.67,152.43,85.93,62,62,4.92
58,Punta Arenas,CL,2020-10-30 23:30:46,-53.15,-70.92,53.6,58,75,29.97
59,Caravelas,BR,2020-10-30 23:31:34,-17.71,-39.25,76.35,82,99,8.37
60,Chuy,UY,2020-10-30 23:30:11,-33.7,-53.46,53.46,86,80,6.33
61,Yellowknife,CA,2020-10-30 23:31:34,62.46,-114.35,17.6,85,75,8.05
62,Kodiak,US,2020-10-30 23:27:22,57.79,-152.41,32.0,76,90,8.05
63,Zhezkazgan,KZ,2020-10-30 23:31:35,47.8,67.71,35.78,75,0,7.63
64,Uray,RU,2020-10-30 23:31:35,60.12,64.78,30.54,97,72,9.55
65,Bengkulu,ID,2020-10-30 23:31:35,-3.8,102.27,76.33,85,70,2.75
66,Okrika,NG,2020-10-30 23:31:35,4.74,7.08,77.23,90,52,4.16
67,Hayden,US,2020-10-30 23:31:36,47.77,-116.79,57.0,56,1,21.92
68,Clyde River,CA,2020-10-30 23:31:36,70.47,-68.59,14.0,92,75,13.87
69,Ponta Do Sol,PT,2020-10-30 23:30:18,32.67,-17.1,68.0,77,20,13.87
70,Kansanshi,ZM,2020-10-30 23:31:36,-12.1,26.43,65.28,47,29,6.22
71,Kloulklubed,PW,2020-10-30 23:31:37,7.04,134.26,84.2,74,75,11.41
72,New Norfolk,AU,2020-10-30 23:31:37,-42.78,147.06,64.0,49,1,5.01
73,Hamilton,US,2020-10-30 23:31:37,39.18,-84.53,46.99,65,75,4.7
74,Victoria,HK,2020-10-30 23:29:28,22.29,114.16,73.0,78,91,15.37
75,Stromness,GB,2020-10-30 23:31:37,58.97,-3.3,46.4,75,32,19.46
76,Nikolskoye,RU,2020-10-30 23:31:38,59.7,30.79,46.0,100,90,4.47
77,Michalovce,SK,2020-10-30 23:31:38,48.75,21.92,46.99,100,75,8.05
78,Mardin,TR,2020-10-30 23:31:38,37.31,40.74,60.01,28,99,3.29
79,Saldanha,ZA,2020-10-30 23:31:38,-33.01,17.94,55.4,66,0,11.41
80,Dikson,RU,2020-10-30 23:31:38,73.51,80.55,13.82,96,100,27.49
81,Severo-Kurilsk,RU,2020-10-30 23:31:07,50.68,156.12,42.06,91,100,33.42
82,Qaanaaq,GL,2020-10-30 23:31:39,77.48,-69.36,12.47,86,91,4.81
83,Port Hedland,AU,2020-10-30 23:31:39,-20.32,118.57,78.8,54,2,10.29
84,Jasdan,IN,2020-10-30 23:31:39,22.03,71.2,73.38,28,4,5.86
85,Petropavlovsk-Kamchatskiy,RU,2020-10-30 23:31:39,53.05,158.65,41.0,80,75,11.18
86,Natitingou,BJ,2020-10-30 23:31:39,10.3,1.38,75.63,38,19,4.27
87,Fort Wellington,GY,2020-10-30 23:31:40,6.4,-57.6,81.64,84,27,12.08
88,Airai,TL,2020-10-30 23:31:40,-8.93,125.41,71.8,62,5,2.37
89,Kimbe,PG,2020-10-30 23:31:40,-5.55,150.14,88.3,59,98,1.1
90,Marsabit,KE,2020-10-30 23:31:40,2.33,37.99,64.44,93,84,19.33
91,Provideniya,RU,2020-10-30 23:31:40,64.38,-173.3,24.69,88,90,7.78
92,Port Hardy,CA,2020-10-30 23:31:41,50.7,-127.42,50.0,66,40,10.29
93,Havre-Saint-Pierre,CA,2020-10-30 23:31:41,50.23,-63.6,23.0,73,1,2.24
94,Nizhneangarsk,RU,2020-10-30 23:31:41,55.78,109.55,20.32,86,100,5.55
95,Borjomi,GE,2020-10-30 23:31:41,41.85,43.41,59.77,40,62,5.12
96,Aldan,RU,2020-10-30 23:31:41,58.6,125.39,9.39,96,98,0.56
97,Francistown,BW,2020-10-30 23:31:41,-21.17,27.51,74.12,30,0,16.33
98,Port Augusta,AU,2020-10-30 23:31:42,-32.5,137.77,60.8,77,90,14.99
99,Husavik,IS,2020-10-30 23:31:42,66.04,-17.34,35.6,80,40,11.41
100,Druzhba,UA,2020-10-30 23:31:43,52.04,33.95,43.65,84,100,2.68
101,Codrington,AU,2020-10-30 23:30:53,-38.27,141.97,55.53,82,56,12.75
102,Bethel,US,2020-10-30 23:31:43,41.37,-73.41,35.6,80,90,5.82
103,Asilah,MA,2020-10-30 23:31:43,35.47,-6.03,64.4,77,0,10.29
104,Torbay,CA,2020-10-30 23:31:44,47.67,-52.73,36.0,59,90,10.29
105,Yarovoye,RU,2020-10-30 23:31:44,52.93,78.58,34.32,92,95,6.17
106,Buala,SB,2020-10-30 23:31:44,-8.14,159.59,85.39,65,54,1.54
107,Abu Dhabi,AE,2020-10-30 23:30:05,24.47,54.37,75.2,78,0,2.24
108,Namibe,AO,2020-10-30 23:31:45,-15.2,12.15,73.47,77,54,4.09
109,Umm Lajj,SA,2020-10-30 23:31:45,25.02,37.27,77.5,38,0,5.08
110,Tottori,JP,2020-10-30 23:31:45,35.5,134.23,48.2,87,75,8.05
111,Moron,AR,2020-10-30 23:31:45,-34.65,-58.62,61.0,98,78,4.0
112,Tsumeb,NA,2020-10-30 23:31:46,-19.23,17.72,74.82,46,71,9.62
113,Nanortalik,GL,2020-10-30 23:31:46,60.14,-45.24,27.99,92,99,7.87
114,Hasaki,JP,2020-10-30 23:28:56,35.73,140.83,52.0,66,20,4.7
115,Otse,BW,2020-10-30 23:31:46,-25.02,25.73,80.6,21,0,14.99
116,San Cristobal,VE,2020-10-30 23:31:47,7.77,-72.22,82.4,74,40,2.24
117,Koumac,NC,2020-10-30 23:31:47,-20.57,164.28,83.23,57,11,3.67
118,Mahebourg,MU,2020-10-30 23:30:20,-20.41,57.7,68.0,56,40,17.22
119,Kruisfontein,ZA,2020-10-30 23:31:47,-34.0,24.73,48.99,91,0,1.01
120,Tuktoyaktuk,CA,2020-10-30 23:31:47,69.45,-133.04,6.8,92,75,10.29
121,La Peca,PE,2020-10-30 23:31:47,-5.61,-78.44,74.26,64,100,2.24
122,Erdenet,MN,2020-10-30 23:31:48,49.03,104.08,23.99,77,80,10.22
123,Georgetown,MY,2020-10-30 23:27:42,5.41,100.34,80.6,88,20,4.85
124,Kamenka,RU,2020-10-30 23:31:48,51.32,42.77,47.57,84,100,7.38
125,Tecoanapa,MX,2020-10-30 23:31:49,16.52,-98.75,82.27,73,4,8.59
126,Ostrovnoy,RU,2020-10-30 23:31:49,68.05,39.51,34.16,90,96,18.23
127,Novyy Urengoy,RU,2020-10-30 23:31:50,66.08,76.63,30.83,99,97,12.26
128,Saint George,US,2020-10-30 23:27:04,37.1,-113.58,78.01,15,1,2.98
129,Ambilobe,MG,2020-10-30 23:31:51,-13.2,49.05,69.03,71,44,6.6
130,Kapaa,US,2020-10-30 23:31:51,22.08,-159.32,82.99,69,20,9.17
131,Angoram,PG,2020-10-30 23:31:51,-4.06,144.07,85.84,67,93,1.68
132,Nome,US,2020-10-30 23:30:39,64.5,-165.41,27.0,68,20,9.17
133,Marand,IR,2020-10-30 23:31:52,38.43,45.77,55.4,36,20,4.7
134,Cape Town,ZA,2020-10-30 23:31:23,-33.93,18.42,57.99,62,0,18.34
135,Tasiilaq,GL,2020-10-30 23:31:52,65.61,-37.64,35.6,80,100,27.51
136,Leon,MX,2020-10-30 23:30:08,21.12,-101.67,78.8,24,40,8.05
137,Tual,ID,2020-10-30 23:31:52,-5.67,132.75,83.71,69,48,8.57
138,Helong,CN,2020-10-30 23:31:52,42.54,129.0,42.64,53,86,4.52
139,East London,ZA,2020-10-30 23:31:52,-33.02,27.91,61.9,68,100,2.21
140,Moroni,KM,2020-10-30 23:31:53,-11.7,43.26,77.16,75,94,1.48
141,Pacific Grove,US,2020-10-30 23:31:16,36.62,-121.92,64.99,77,1,9.17
142,Oyem,GA,2020-10-30 23:31:53,1.6,11.58,67.46,98,91,0.81
143,Labuan,MY,2020-10-30 23:30:03,5.28,115.24,77.0,94,40,6.31
144,Norman Wells,CA,2020-10-30 23:31:53,65.28,-126.83,14.0,92,90,4.7
145,Panguna,PG,2020-10-30 23:31:53,-6.32,155.48,78.73,78,85,2.26
146,Kaitangata,NZ,2020-10-30 23:30:34,-46.28,169.85,60.01,87,100,17.0
147,Faanui,PF,2020-10-30 23:31:54,-16.48,-151.75,78.94,82,2,17.0
148,Thompson,CA,2020-10-30 23:30:03,55.74,-97.86,19.4,73,90,4.7
149,Savannah Bight,HN,2020-10-30 23:31:54,16.45,-85.85,82.4,78,40,3.36
